Composite.Element.Name	Composite.Element.Database.Entry[hugo]
ADXCRAD_BM725212_s_at	ZC3H3
ADXCRAG_BC038709_at	HOXD8
ADXCRAG_BC038709_x_at	HOXD8
ADXCRAG_BC038786_s_at	LOC338799
ADXCRPD.14011.C1_s_at	LGR6
ADXCRAG_BC038801_s_at	USP8
ADXCRAG_BC038802_at	UNK
ADXCRAG_BC038802_x_at	UNK
ADXCRAG_BC038832_at	PKN2
ADXCRAD_AW673656_s_at	PKN2
ADXCRPD.9187.C1_s_at	LY86
ADXCRAG_BC038860_s_at	ProSAPiP1
ADXCRAG_BC038934_at	GJB6
ADXCRAG_BC038934_s_at	GJB6
ADXCRAD_CB164646_s_at	EHHADH
ADXCRAD_BE783666_s_at	DPYSL3
ADXCRAD_BP369593_s_at	RPAP2
ADXCRAG_BC039019_s_at	
ADXCRAG_BC039035_at	CD3D
ADXCRAG_BC039035_x_at	CD3D
ADXCRAG_BC039063_s_at	ACADL
ADXCRAG_BC039065_s_at	UGT2B10
ADXCRAG_BC039067_s_at	C3orf21
ADXCRPD.8453.C1_s_at	STX6
ADXCRAG_BC039158_s_at	PDK1
ADXCRAG_BC039197_s_at	MLL2
ADXCRAG_BC039252_s_at	
ADXCRAG_BC039257_s_at	NUP155
ADXCRAG_BC039258_s_at	TEF
ADXCRAG_BC039258_x_at	TEF
ADXCRAG_BC039260_s_at	RBM12B
ADXCRAD_BX377507_s_at	ACSS1
ADXCRAG_BC039262_s_at	MGC33846
ADXCRAG_BC039270_s_at	DHX57
ADXCRAD_BE908431_s_at	FBXO3
ADXCRAG_BC039297_s_at	FNDC3B
ADXCRAG_BC039323_s_at	ZNF8
ADXCRAG_BC039388_s_at	
ADXCRAG_BC039397_s_at	NR2E3
ADXCRAG_BC039404_s_at	C18orf37
ADXCRAG_BC039480_s_at	DEPDC4
ADXCRAG_BC039483_s_at	
ADXCRAG_BC039548_s_at	
ADXCRAG_BC039557_s_at	ZNF585A
ADXCRAG_BC039563_s_at	ARHGAP11A
ADXCRAG_BC039573_s_at	CCDC98
ADXCRAG_BC039585_at	KLHL7
ADXCRAD_BX100739_s_at	KLHL7
ADXCRAG_BC039600_s_at	HERC4
ADXCRAG_BC039601_x_at	PPP1R14C
ADXCRAG_BC039608_s_at	SPATA2L
ADXCRAG_BC039678_s_at	
ADXCRAG_BC039721_x_at	SLC16A4
ADXCRAG_BC039815_at	TP63
ADXCRAG_BC039815_x_at	TP63
ADXCRAG_BC039829_s_at	INTS6
ADXCRAG_BC039833_at	RNF44
ADXCRAG_BC039833_s_at	RNF44
ADXCRAG_BC039835_s_at	HIRA
ADXCRAG_BC039859_s_at	TMCC1
ADXCRAD_BX354080_s_at	NRM
ADXCRAG_BC039999_s_at	RMI1
ADXCRAD_U47635_s_at	MTMR6
ADXCRAD_BM929526_s_at	AZI1
ADXCRAD_BP231688_s_at	LOC649851
ADXCRAG_BC040074_s_at	FAM20C
ADXCRAD_BM929530_s_at	RHOU
ADXCRAD_AL527070_s_at	MED22
ADXCRAG_BC040117_s_at	PGBD1
ADXCRPD.12441.C1_s_at	CCDC55
ADXCRAG_BC040130_s_at	ANAPC7
ADXCRAG_BC040141_s_at	NR2C1
ADXCRAG_BC040155_s_at	UBE3B
ADXCRAG_BC040170_s_at	FLJ20444
ADXCRAG_BC040178_s_at	GTPBP5
ADXCRAD_AB037751_s_at	ALPK3
ADXCRAG_BC040196_s_at	CLIC6
ADXCRAG_BC040253_s_at	PKP1
ADXCRAG_BC040258_s_at	SCLT1
ADXCRAD_BM708035_s_at	CD86
ADXCRAG_BC040276_s_at	LRRC48
ADXCRAG_BC040304_s_at	
ADXCRAG_BC040312_s_at	GABARAPL2
ADXCRAG_BC040322_s_at	
ADXCRAG_BC040341_s_at	KIAA1618
ADXCRAD_CN332327_s_at	NAG
ADXCRAG_BC040361_s_at	NRIP1
ADXCRAG_BC040412_s_at	
ADXCRAG_BC040433_s_at	RBMX2
ADXCRAD_BM701538_s_at	CENPB
ADXCRAG_BC040481_at	ZHX1
ADXCRAD_AA418230_s_at	CCDC117
ADXCRAG_BC040488_x_at	CCDC117
ADXCRAG_BC040493_s_at	MAPK4
ADXCRAD_CD676129_s_at	DNAJB2
ADXCRAD_BF576342_s_at	BVES
ADXCRAG_BC040503_s_at	TC2N
ADXCRAG_BC040520_s_at	NPHP4
ADXCRAG_BC040535_at	TMCC3
ADXCRAG_BC040551_s_at	OTOA
ADXCRAD_CX786261_s_at	SLC44A2
ADXCRAD_CF139768_s_at	MFN1
ADXCRAD_CB853002_s_at	
ADXCRAG_BC040591_at	ZNF571
ADXCRAD_AF150239_s_at	ZNF571
ADXCRAG_BC040591_x_at	ZNF571
ADXCRAG_BC040609_s_at	SENP2
ADXCRAG_BC040638_s_at	DNAJC13
ADXCRAD_CD237620_s_at	C11orf32
ADXCRAG_BC040658_s_at	ZBTB44
ADXCRAD_BM930062_s_at	
ADXCRAG_BC040920_s_at	PLA2G4F
ADXCRAD_NM_013377_s_at	PDZRN4
ADXCRAG_BC040959_s_at	BHLHB9
ADXCRAG_BC040974_s_at	PDE2A
ADXCRAG_BC040993_s_at	SLAIN2
ADXCRAG_BC041084_at	MPHOSPH10
ADXCRAD_BG661228_s_at	MPHOSPH10
ADXCRAG_BC041092_x_at	RUFY2
ADXCRAG_BC041094_s_at	TAF5L
ADXCRAG_BC041098_s_at	UGCGL1
ADXCRAG_BC041118_s_at	KIAA1826
ADXCRAG_BC041120_s_at	GALNT2
ADXCRAD_BX366210_s_at	ARNT
ADXCRAG_BC041125_at	KIAA1586
ADXCRAG_BC041127_s_at	ALCAM
ADXCRAG_BC041133_s_at	RASL10B
ADXCRPD.1247.C1_s_at	ZNF22
ADXCRAD_W52722_s_at	SLCO2A1
ADXCRAD_AL046336_s_at	XPR1
ADXCRAG_BC041157_at	TBXAS1
ADXCRAD_NM_030984_s_at	TBXAS1
ADXCRAG_BC041159_s_at	ZNF287
ADXCRAG_BC041333_at	RAP2A
ADXCRAD_BM068872_s_at	RAP2A
ADXCRAD_CK824966_s_at	FIG4
ADXCRAG_BC041364_x_at	
ADXCRAG_BC041366_s_at	USP2
ADXCRAG_BC041380_s_at	LOC492311
ADXCRAG_BC041387_x_at	MCTP2
ADXCRAG_BC041395_at	DIAPH3
ADXCRAD_CN430435_s_at	DIAPH3
ADXCRAG_BC041401_s_at	
ADXCRAD_BM709544_s_at	EXOC6
ADXCRAG_BC041414_s_at	C10orf72
ADXCRAG_BC041432_s_at	TMEM20
ADXCRAG_BC041454_s_at	SLC5A12
ADXCRAG_BC041455_at	PDE9A
ADXCRAG_BC041462_s_at	
ADXCRAG_BC041468_s_at	
ADXCRAG_BC041563_s_at	OSBPL1A
ADXCRAD_BP385501_s_at	PCBD1
ADXCRAG_BC041593_s_at	AMBP
ADXCRAG_BC041610_s_at	
ADXCRAG_BC041614_s_at	TBC1D25
ADXCRAG_BC041629_s_at	MAZ
ADXCRAD_BM727021_s_at	SRGAP2
ADXCRAG_BC041653_at	LRRC37A4
ADXCRAD_BX111798_s_at	KIAA1604
ADXCRAG_BC041697_s_at	CARD8
ADXCRAG_BC041700_s_at	RABEP1
ADXCRAG_BC041770_s_at	DGKZ
ADXCRAD_BG164682_s_at	SPNS2
ADXCRAG_BC041785_at	DDX52
ADXCRAG_BC041804_s_at	DZIP1
ADXCRAG_BC041814_s_at	CRY2
ADXCRAG_BC041820_s_at	LOC732115
ADXCRAG_BC041827_at	
ADXCRAG_BC041850_s_at	
ADXCRAG_BC041866_s_at	ZFYVE28
ADXCRAG_BC041866_x_at	ZFYVE28
ADXCRAG_BC041882_s_at	ATF7IP2
ADXCRAG_BC041887_at	ANKMY1
ADXCRAG_BC041887_s_at	ANKMY1
ADXCRAG_BC041893_s_at	TTC17
ADXCRAG_BC041916_at	C20orf194
ADXCRAD_BM991287_s_at	C20orf194
ADXCRAG_BC041925_x_at	SLC7A11
ADXCRAG_BC041940_at	
ADXCRAG_BC041940_x_at	
ADXCRAG_BC041943_s_at	MTHFD2L
ADXCRAG_BC041949_s_at	
ADXCRAG_BC041969_at	
ADXCRAD_BU581565_s_at	POGZ
ADXCRAG_BC042032_at	
ADXCRPD.13932.C1_s_at	HERC6
ADXCRAG_BC042052_s_at	
ADXCRAG_BC042070_s_at	ANKRD52
ADXCRAG_BC042087_x_at	
ADXCRAG_BC042089_s_at	
ADXCRAG_BC042095_at	PCSK9
ADXCRAD_BM793806_s_at	PCSK9
ADXCRAG_BC042126_s_at	
ADXCRAG_BC042146_s_at	KIAA0427
ADXCRAG_BC042148_s_at	
ADXCRAG_BC042171_at	IBTK
ADXCRAD_CK824092_s_at	ANKRD6
ADXCRAG_BC042191_at	DTX3L
ADXCRAG_BC042298_s_at	PAQR7
ADXCRAG_BC042370_s_at	SUHW2
ADXCRAG_BC042372_s_at	
ADXCRAD_AA665232_s_at	VTI1B
ADXCRAG_BC042432_s_at	KIRREL3
ADXCRAG_BC042464_s_at	LSM8
ADXCRAG_BC042482_s_at	KCTD7
ADXCRAG_BC042483_at	LZTFL1
ADXCRAG_BC042510_s_at	CEL
ADXCRAG_BC042520_at	
ADXCRAG_BC042545_at	RAB22A
ADXCRAG_BC042545_x_at	RAB22A
ADXCRAD_BM692058_s_at	
ADXCRAG_BC042609_s_at	MORC3
ADXCRAG_BC042665_s_at	CD80
ADXCRAG_BC042676_s_at	ZNF260
ADXCRAG_BC042754_s_at	LDLRAD3
ADXCRAG_BC042802_s_at	LOC728192
ADXCRAD_BP397130_s_at	
ADXCRAD_BX115150_s_at	AKAP9
ADXCRAG_BC042848_s_at	TTC30A
ADXCRAG_BC042880_s_at	
ADXCRAG_BC042889_s_at	CD47
ADXCRAG_BC042899_s_at	SGMS1
ADXCRAG_BC042918_s_at	APOL3
ADXCRAD_BX094221_s_at	C14orf132
ADXCRAD_BM707441_s_at	FLJ33790
ADXCRAD_CN257848_s_at	
ADXCRAD_BQ671612_s_at	KIAA0692
ADXCRAG_BC043175_s_at	CCNJ
ADXCRAG_BC043190_s_at	ZFHX3
ADXCRAG_BC043205_at	C8orf50
ADXCRAG_BC043205_x_at	C8orf50
ADXCRAG_BC043243_s_at	
ADXCRAG_BC043248_s_at	PLCH1
ADXCRAG_BC043252_x_at	
ADXCRAG_BC043269_s_at	C7orf31
ADXCRAG_BC043279_s_at	
ADXCRAG_BC043359_at	MED25
ADXCRAG_BC043365_s_at	LOC642451
ADXCRAG_BC043382_s_at	
ADXCRAG_BC043383_at	KIAA2018
ADXCRAG_BC043383_x_at	KIAA2018
ADXCRAG_BC043396_s_at	FRMD4B
ADXCRAG_BC043406_at	NUDCD1
ADXCRAG_BC043407_s_at	LOC285401
ADXCRAG_BC043410_at	FBXO42
ADXCRAG_BC043410_x_at	FBXO42
ADXCRAG_BC043416_at	MAN2A1
ADXCRAD_BP208157_s_at	MAN2A1
ADXCRAG_BC043500_s_at	CRKL
ADXCRAG_BC043556_s_at	
ADXCRAG_BC043557_s_at	
ADXCRAG_BC043583_s_at	DNAJC13
ADXCRAG_BC043596_s_at	FANCB
ADXCRAG_BC043609_s_at	ZBTB12
ADXCRAG_BC043614_s_at	
ADXCRAG_BC043615_at	VAV2
ADXCRAG_BC043615_x_at	VAV2
ADXCRAD_BX089500_s_at	BMPR2
ADXCRAG_BC044233_s_at	LRRC33
ADXCRAG_BC044242_s_at	RSPH10B
ADXCRAG_BC044246_s_at	KIAA1913
ADXCRAD_NM_024675_s_at	PALB2
ADXCRAG_BC044255_s_at	NUP205
ADXCRAG_BC044258_s_at	MED13
ADXCRAD_NM_021144_s_at	PSIP1
ADXCRAG_BC044582_s_at	UBL3
ADXCRAG_BC044583_s_at	
ADXCRAG_BC044587_s_at	LSM12
ADXCRAG_BC044591_at	WASF1
ADXCRAD_CN389857_s_at	WASF1
ADXCRAG_BC044608_at	LOC441242
ADXCRAG_BC044613_at	
ADXCRAG_BC044620_s_at	C9orf57
ADXCRAG_BC044627_s_at	SCRIB
ADXCRAG_BC044636_s_at	YLPM1
ADXCRAG_BC044640_at	PIGZ
ADXCRAD_BI757996_at	PIGZ
ADXCRAD_BI757996_s_at	PIGZ
ADXCRAG_BC044644_s_at	CENTG3
ADXCRAG_BC044649_s_at	ATP11A
ADXCRAG_BC044750_s_at	LOC729570
ADXCRAG_BC044768_s_at	
ADXCRAG_BC044886_s_at	
ADXCRAG_BC045110_s_at	DUSP8
ADXCRAG_BC045173_at	DARS2
ADXCRAD_BM553730_s_at	DARS2
ADXCRAG_BC045540_s_at	KIAA0195
ADXCRAG_BC045556_s_at	C14orf101
ADXCRAD_BU568353_s_at	C16orf52
ADXCRAG_BC045606_s_at	NID1
ADXCRAG_BC045618_at	FLJ14803
ADXCRAD_AW875727_s_at	FLJ14803
ADXCRAG_BC045651_at	P2RY5
ADXCRAG_BC045651_x_at	P2RY5
ADXCRAG_BC045655_s_at	TMEM97
ADXCRAG_BC045659_s_at	KCND1
ADXCRAG_BC045676_at	C17orf72
ADXCRAG_BC045676_x_at	C17orf72
ADXCRAG_BC045690_s_at	FAM98B
ADXCRAD_AK055559_s_at	
ADXCRAD_AA234267_s_at	IGSF10
ADXCRAG_BC045773_at	B4GALT1
ADXCRAG_BC045786_at	PTPRD
ADXCRAD_BM915658_s_at	TAF15
ADXCRAG_BC046114_s_at	MAP1B
ADXCRAG_BC046126_s_at	
ADXCRAG_BC046129_s_at	GALNT7
ADXCRAG_BC046131_x_at	COMMD2
ADXCRAG_BC046149_s_at	NIT1
ADXCRAG_BC046157_s_at	SYT5
ADXCRAG_BC046161_at	PDE4B
ADXCRAD_BM998947_s_at	PDE4B
ADXCRAG_BC046181_s_at	CREB3L2
ADXCRAG_BC046183_s_at	FAM120AOS
ADXCRAG_BC046185_at	FLJ40142
ADXCRAD_BU674612_s_at	FLJ40142
ADXCRAG_BC046204_s_at	LOC128977
ADXCRAG_BC046206_at	ZNF26
ADXCRAG_BC046206_x_at	ZNF26
ADXCRAG_BC046214_s_at	MPHOSPH8
ADXCRAG_BC046242_s_at	AP1B1
ADXCRAG_BC046247_at	CHSY1
ADXCRAG_BC046247_s_at	CHSY1
ADXCRAG_BC046366_s_at	CPNE8
ADXCRAG_BC046434_s_at	ZNF135
ADXCRAG_BC046929_at	TSC2
ADXCRAG_BC046999_s_at	STX12
ADXCRAG_BC047006_s_at	P18SRP
ADXCRAG_BC047026_s_at	FLJ11506
ADXCRAD_CB106202_s_at	NEDD4
ADXCRAG_BC047038_s_at	LOC401115
ADXCRAG_BC047040_s_at	MED26
ADXCRAG_BC047069_s_at	KIAA1450
ADXCRAD_W44398_s_at	BTBD7
ADXCRAG_BC047072_x_at	CD27
ADXCRAD_CA773379_s_at	SPG20
ADXCRAG_BC047107_s_at	KBTBD2
ADXCRAG_BC047109_s_at	RDX
ADXCRAG_BC047221_s_at	SEC63
ADXCRAG_BC047222_s_at	TMPRSS5
ADXCRAG_BC047230_s_at	
ADXCRAG_BC047327_s_at	DHX8
ADXCRAG_BC047374_s_at	SLC36A4
ADXCRAD_BQ189515_s_at	
ADXCRAG_BC047391_at	RALGPS2
ADXCRAG_BC047391_s_at	RALGPS2
ADXCRAG_BC047403_at	
ADXCRAG_BC047432_s_at	BID
ADXCRAG_BC047438_at	HOMER1
ADXCRAG_BC047438_x_at	HOMER1
ADXCRAG_BC047442_s_at	CATSPER2P1
ADXCRAG_BC047445_at	MRPS17
ADXCRAG_BC047470_at	
ADXCRAG_BC047488_s_at	LOC646340
ADXCRAG_BC047496_s_at	STX2
ADXCRAG_BC047504_at	EHMT1
ADXCRPD.7121.C1_s_at	AFTPH
ADXCRAG_BC047529_x_at	AFTPH
ADXCRAG_BC047554_at	
ADXCRAG_BC047554_x_at	
ADXCRAG_BC047558_at	PCYOX1
ADXCRAG_BC047558_x_at	
ADXCRAG_BC047581_at	PAPD4
ADXCRAD_BX108077_s_at	PAPD4
ADXCRAG_BC047584_at	UBE2R2
ADXCRAG_BC047586_at	LOC730780
ADXCRAG_BC047586_s_at	LOC730780
ADXCRAG_BC047586_x_at	LOC730780
ADXCRAG_BC047588_s_at	AADACL1
ADXCRAG_BC047595_s_at	AMIGO2
ADXCRAD_CR739773_s_at	GUCY1B3
ADXCRAG_BC047631_s_at	
ADXCRAG_BC047653_s_at	PHLPP
ADXCRAD_XM_495961_s_at	LOC440145
ADXCRAG_BC047698_at	IL7
ADXCRAD_BX369730_s_at	IL7
ADXCRAG_BC047705_at	C1orf201
ADXCRAD_BM725202_s_at	C1orf201
ADXCRAG_BC047708_at	DPY19L2P3
ADXCRAG_BC047708_s_at	DPY19L2P3
ADXCRAG_BC047723_at	
ADXCRAG_BC047751_at	JARID1C
ADXCRAG_BC047761_at	MKL2
ADXCRAG_BC047761_s_at	MKL2
ADXCRAD_CR741870_s_at	SKAP1
ADXCRAG_BC047871_s_at	CDC42BPB
ADXCRAG_BC047873_s_at	LRRC48
ADXCRAG_BC047884_at	RHOBTB3
ADXCRAG_BC047884_x_at	RHOBTB3
ADXCRAD_BM716129_s_at	EPHB6
ADXCRAG_BC047894_at	ATXN1
ADXCRAG_BC047903_s_at	TMEM16G
ADXCRAD_BM314129_s_at	SETD1B
ADXCRAD_BQ435438_s_at	
ADXCRAG_BC047915_x_at	C1orf178
ADXCRAD_CB159155_s_at	
ADXCRAG_BC047933_s_at	B3GNT2
ADXCRAD_BQ948881_s_at	MAML1
ADXCRAG_BC047948_s_at	GRID1
ADXCRAG_BC048015_s_at	UBE1DC1
ADXCRAG_BC048094_s_at	ACE2
ADXCRAG_BC048098_s_at	FBXO4
ADXCRAG_BC048193_at	LOC728401
ADXCRAG_BC048193_x_at	LOC728401
ADXCRAG_BC048194_s_at	TRIM56
ADXCRAD_CB122341_s_at	SNTB2
ADXCRAG_BC048255_s_at	CTSW
ADXCRAG_BC048273_at	C1orf113
ADXCRAG_BC048273_x_at	C1orf113
ADXCRAG_BC048286_s_at	SYS1
ADXCRAD_AV705527_s_at	SPATS2
ADXCRAD_NM_001011547_s_at	SLC5A9
ADXCRAD_CN430658_s_at	GPSM1
ADXCRAG_BC048347_s_at	KIF18A
ADXCRAG_BC048768_s_at	PTPRF
ADXCRAG_BC048769_x_at	TCF7
ADXCRAG_BC048798_x_at	ZNF589
ADXCRAD_BX117776_s_at	C10orf47
ADXCRAG_BC048994_s_at	DEFB109
ADXCRAG_BC049171_s_at	FJX1
ADXCRAG_BC049172_s_at	
ADXCRAG_BC049209_at	LOC129293
ADXCRAG_BC049213_s_at	ANKS1A
ADXCRAG_BC049214_s_at	CHST14
ADXCRAG_BC049215_s_at	OAS2
ADXCRAG_BC049386_at	LOC388820
ADXCRAG_BC049826_s_at	RFX1
ADXCRAD_AL558308_s_at	CD3E
ADXCRAD_BX093493_s_at	CBLN4
ADXCRAG_BC050062_s_at	PTPRE
ADXCRAG_BC050088_s_at	TTC32
ADXCRAG_BC050281_s_at	PPFIBP1
ADXCRAG_BC050297_s_at	TMEM144
ADXCRAG_BC050308_s_at	PKP4
ADXCRAG_BC050335_x_at	CDC42BPA
ADXCRAG_BC050341_s_at	CAND1
ADXCRAG_BC050361_s_at	MTERFD3
ADXCRAG_BC050364_s_at	C7orf13
ADXCRAG_BC050373_s_at	RNF144A
ADXCRAG_BC050384_s_at	SUPT3H
ADXCRAG_BC050394_s_at	DKFZp667G2110
ADXCRAD_CN400209_s_at	RFNG
ADXCRAG_BC050430_at	CDC42SE2
ADXCRAD_CN355588_s_at	SHOC2
ADXCRAG_BC050466_s_at	TMEM150
ADXCRAG_BC050474_s_at	C1orf130
ADXCRAG_BC050549_s_at	AOC3
ADXCRAG_BC050551_s_at	BAG5
ADXCRIH.1395.C1_s_at	RAB5B
ADXCRAG_BC050565_at	PASK
ADXCRAD_AF007887_s_at	LOC441212
ADXCRAG_BC050579_s_at	CCDC138
ADXCRAG_BC050594_s_at	NCOR1
ADXCRAD_CN274281_s_at	TCEA2
ADXCRAG_BC050675_s_at	CRELD2
ADXCRAG_BC050678_s_at	ARMCX5
ADXCRAG_BC050685_s_at	GALE
ADXCRAG_BC050704_s_at	DCDC2
ADXCRAG_BC051004_s_at	FLJ10490
ADXCRAG_BC051007_s_at	LOC441150
ADXCRAG_BC051284_at	STAT2
ADXCRAD_AL514062_s_at	CCDC3
ADXCRAG_BC051342_at	GATA2
ADXCRAG_BC051342_s_at	GATA2
ADXCRAD_BQ185772_s_at	NPAS2
ADXCRAG_BC051360_s_at	RAB11FIP3
ADXCRAG_BC051362_at	HCP5P15
ADXCRAG_BC051362_x_at	HCP5P15
ADXCRAD_BF375769_s_at	IKIP
ADXCRAG_BC051385_s_at	SREBF2
ADXCRAG_BC051462_at	TMEM135
ADXCRAG_BC051462_s_at	TMEM135
ADXCRAG_BC051650_s_at	TOM1L2
ADXCRAD_CD677936_s_at	PTPRM
ADXCRAG_BC051690_s_at	FBLN2
ADXCRAG_BC051700_at	C6orf120
ADXCRAD_CR735892_s_at	C6orf120
ADXCRAG_BC051700_x_at	C6orf120
ADXCRAG_BC051730_at	
ADXCRAD_AV723487_s_at	
ADXCRAG_BC051733_at	LUZP1
ADXCRAG_BC051734_s_at	ZBTB38
ADXCRAG_BC051747_at	AP1G1
ADXCRAG_BC051747_x_at	AP1G1
ADXCRAD_CF129672_s_at	PNPLA6
ADXCRAG_BC051773_s_at	CBX7
ADXCRAD_CF456442_s_at	ATN1
ADXCRAG_BC051823_s_at	EHD4
ADXCRAD_CX166179_s_at	KIF23
ADXCRAG_BC051831_at	ZNF143
ADXCRAG_BC051831_x_at	ZNF143
ADXCRAG_BC051836_s_at	LRP8
ADXCRAD_CK906287_s_at	TMPRSS2
ADXCRAD_CK023948_s_at	ZNF394
ADXCRAG_BC051861_at	SPATA5L1
ADXCRAD_AA174003_s_at	SPATA5L1
ADXCRAG_BC051867_s_at	FIGNL1
ADXCRAD_NM_014499_s_at	P2RY10
ADXCRAD_BX106789_s_at	CXorf9
ADXCRAG_BC052234_at	WNT10A
ADXCRAG_BC052284_at	FAM84A
ADXCRAG_BC052565_s_at	SMG7
ADXCRAG_BC052577_x_at	PACS1
ADXCRAG_BC052584_s_at	MAPKAPK2
ADXCRAG_BC052588_s_at	PMS2L5
ADXCRAG_BC052602_s_at	CA13
ADXCRAG_BC052628_at	ARMCX2
ADXCRAG_BC052780_at	
ADXCRAD_CN398311_s_at	
ADXCRAG_BC052797_x_at	NGFR
ADXCRAG_NM_015284_s_at	KIAA0467
ADXCRAD_CN283327_s_at	EPHB4
ADXCRAG_BC052805_s_at	EPB49
ADXCRAG_BC052969_s_at	MYOM2
ADXCRAG_BC052977_s_at	TNFRSF1B
ADXCRAG_BC052981_s_at	HIST1H3E
ADXCRAD_BG764163_s_at	MICAL1
ADXCRAG_BC052984_s_at	XYLB
ADXCRPD.5668.C1_s_at	MTHFR
ADXCRAD_BP394265_s_at	ZFYVE1
ADXCRAD_CF454441_s_at	RP2
ADXCRAG_BC053533_s_at	MTERFD2
ADXCRAG_BC053537_s_at	FBXO33
ADXCRAD_XM_166103_s_at	DNA2L
ADXCRAD_NM_172313_s_at	CSF3R
ADXCRAD_CX783596_s_at	NASP
ADXCRAD_CB047994_s_at	PRKAB2
ADXCRAG_BC053616_s_at	PREX1
ADXCRAG_BC053622_s_at	PTAR1
ADXCRAG_BC053642_s_at	DNAJC5
ADXCRAD_CR748950_s_at	GRASP
ADXCRAG_BC053671_at	SH3RF1
ADXCRAD_BI962960_s_at	SH3RF1
ADXCRAG_BC053855_at	NFATC4
ADXCRAD_BG938872_s_at	NFATC4
ADXCRAG_BC053871_at	MEF2A
ADXCRAG_BC053871_x_at	MEF2A
ADXCRAG_BC053878_at	ZAP70
ADXCRAG_BC053878_x_at	ZAP70
ADXCRAD_BM044584_s_at	IGSF8
ADXCRAG_BC053897_s_at	DCUN1D4
ADXCRAG_BC053908_at	RCC2
ADXCRAG_BC053909_at	C14orf44
ADXCRAG_BC053909_x_at	C14orf44
ADXCRAG_BC053985_s_at	CD244
ADXCRAD_BM695612_x_at	LOC653635
ADXCRAD_NM_007148_s_at	ZNF179
ADXCRAG_BC053992_at	SCAF1
ADXCRAG_BC053992_x_at	SCAF1
ADXCRAG_BC053995_x_at	C11orf66
ADXCRAG_BC054008_s_at	C6orf151
ADXCRAG_BC054017_at	PEX14
ADXCRAG_BC054017_s_at	PEX14
ADXCRAG_BC054017_x_at	PEX14
ADXCRAG_BC054033_s_at	MSRA
ADXCRAG_BC054047_at	MTL5
ADXCRAG_BC054047_s_at	MTL5
ADXCRAG_BC054494_s_at	NISCH
ADXCRAG_BC054501_s_at	DNM2
ADXCRAG_BC054502_at	GREB1
ADXCRAG_BC054502_x_at	GREB1
ADXCRAG_BC054516_s_at	APBB1IP
ADXCRAG_BC054519_s_at	POLR1D
ADXCRAG_BC055080_s_at	CGA
ADXCRAG_BC055396_s_at	BTBD14B
ADXCRAG_BC055429_s_at	JPH4
ADXCRAD_BM887920_s_at	NFE2L3
ADXCRAD_AL521361_x_at	ELK1
ADXCRAG_BC056253_s_at	IYD
ADXCRAG_BC056398_s_at	AP3M2
ADXCRAG_BC056402_s_at	LOC144097
ADXCRAD_CA976022_s_at	KLK3
ADXCRAG_BC056687_s_at	SDCCAG1
ADXCRAG_BC056757_s_at	SLC6A18
ADXCRAD_BI914897_s_at	TUSC4
ADXCRAG_BC056883_s_at	BCAS4
ADXCRAD_AV655587_s_at	FBXL11
ADXCRAG_BC057235_s_at	HMMR
ADXCRAG_BC057238_s_at	NSUN3
ADXCRAG_BC057242_at	OTUD4
ADXCRAG_BC057245_at	ZNF790
ADXCRAG_BC057245_x_at	ZNF790
ADXCRAG_BC057255_at	KIAA0423
ADXCRAG_BC057389_at	
ADXCRPD.9421.C1_s_at	ARHGEF11
ADXCRAG_BC057776_s_at	ZNF613
ADXCRAG_BC057797_at	DEPDC5
ADXCRAG_BC057797_x_at	DEPDC5
ADXCRAG_BC057806_s_at	IGFBP1
ADXCRAG_BC057824_s_at	KIAA1833
ADXCRAG_BC058002_at	MORC3
ADXCRAG_BC058002_x_at	CRX
ADXCRAG_BC058004_s_at	CLDN8
ADXCRAG_BC058288_x_at	IDS
ADXCRAD_NM_001192_s_at	TNFRSF17
ADXCRAG_BC058835_s_at	RASSF6
ADXCRAG_BC058845_s_at	MGC16824
ADXCRAG_BC058880_at	RGN
ADXCRAD_CB161948_s_at	RGN
ADXCRAG_BC058898_s_at	C4orf29
ADXCRAG_BC058900_s_at	RABEP2
ADXCRAG_BC058906_s_at	ADCK1
ADXCRAG_BC058921_at	EPRS
ADXCRAG_BC058921_s_at	EPRS
ADXCRAG_BC059173_x_at	FBXL19
ADXCRAG_BC059174_s_at	TRAF3IP1
ADXCRAD_BG675111_at	GABRE
ADXCRAD_BG675111_s_at	GABRE
ADXCRAD_BX105303_s_at	SCNN1G
ADXCRAG_BC059404_s_at	BCL6B
ADXCRAG_BC060509_s_at	DTX3L
ADXCRAG_BC060511_at	TLK2
ADXCRAG_BC060514_at	FAM63B
ADXCRAG_BC060514_x_at	FAM63B
ADXCRAD_CF136820_s_at	BAT2
ADXCRAG_BC060761_at	CNKSR3
ADXCRAD_BF726329_s_at	CNKSR3
ADXCRAG_BC060764_at	MAP2K4
ADXCRAD_BF994507_s_at	MAP2K4
ADXCRAG_BC060778_at	DHX57
ADXCRAG_BC060778_x_at	DHX57
ADXCRAG_BC060790_s_at	SOCS4
ADXCRAG_BC060792_s_at	ACBD3
ADXCRAG_BC060793_s_at	KCNK5
ADXCRAD_NM_032861_s_at	SERAC1
ADXCRAD_NM_032256_s_at	TMEM117
ADXCRAG_BC060808_s_at	L1TD1
ADXCRAG_BC060815_s_at	AGTPBP1
ADXCRAG_BC060817_s_at	ZNF365
ADXCRAG_BC060818_at	SNAP91
