Composite.Element.Name	Composite.Element.Database.Entry[hugo]
ADXCRAG_AB005289_s_at	ABCB7
ADXCRPD.5783.C1_s_at	POLS
ADXCRAG_AB006190_at	AQP7
ADXCRAD_BX509800_s_at	PCDH7
ADXCRAG_AB006757_at	PCDH7
ADXCRAG_AB006757_s_at	PCDH7
ADXCRAG_AB006965_s_at	DNM1L
ADXCRAG_AB007857_s_at	SGSM2
ADXCRAD_BM782637_s_at	RNMT
ADXCRAG_AB007861_s_at	MGC22014
ADXCRAG_AB007864_s_at	ATG2A
ADXCRAD_BQ186315_s_at	NUPL1
ADXCRAG_AB007875_x_at	LOC732350
ADXCRAG_AB007884_s_at	ARHGEF9
ADXCRAG_AB007892_s_at	CDC5L
ADXCRAG_AB007897_s_at	SETBP1
ADXCRAD_CK002169_s_at	AUTS2
ADXCRAG_AB007925_at	SRGAP2
ADXCRAD_BU167226_s_at	SRGAP2
ADXCRAD_BI918369_s_at	PLXNA2
ADXCRAD_BP210319_s_at	MACF1
ADXCRAD_CN308005_s_at	ZBTB40
ADXCRAD_R54684_s_at	TMEM63A
ADXCRAG_AB007964_at	KIAA0495
ADXCRAG_AB007964_x_at	KIAA0495
ADXCRAD_AL041935_s_at	CYHR1
ADXCRAD_BX282647_s_at	FCMD
ADXCRAD_CB153689_s_at	FARP1
ADXCRAD_BI762313_s_at	SLC1A1
ADXCRAD_CN354776_s_at	SPTBN2
ADXCRAG_AB008567_x_at	SPTBN2
ADXCRAG_AB008681_at	ACVR2B
ADXCRAG_AB009285_at	CFDP1
ADXCRAG_AB009619_s_at	PSMD10
ADXCRAG_AB009672_at	ADAM23
ADXCRAG_AB009672_x_at	ADAM23
ADXCRAG_AB010438_s_at	SLC22A13
ADXCRAG_AB010874_s_at	RPL41
ADXCRAG_AB011100_s_at	KIAA0528
ADXCRAG_AB011109_at	NUAK1
ADXCRAD_BG284517_at	NUAK1
ADXCRAD_BG284517_s_at	NUAK1
ADXCRAG_AB011111_s_at	
ADXCRAG_AB011134_at	KIAA0562
ADXCRAD_AI348371_s_at	KIAA0562
ADXCRAG_AB011154_s_at	CEP68
ADXCRAG_AB011422_s_at	KALRN
ADXCRAG_AB011540_s_at	LRP4
ADXCRAD_CN305216_s_at	ANAPC10
ADXCRAG_AB012124_at	TCFL5
ADXCRIH.3329.C1_s_at	TCFL5
ADXCRAG_AB012165_at	ADIPOQ
ADXCRAD_BP382481_s_at	ADIPOQ
ADXCRAG_AB012165_x_at	ADIPOQ
ADXCRAG_AB012723_at	KIF25
ADXCRAG_AB012942_at	AOC2
ADXCRAG_AB012958_s_at	UVRAG
ADXCRAG_AB013384_s_at	HIP1R
ADXCRAD_BQ186837_s_at	USP1
ADXCRAD_CN304890_s_at	NCKAP1
ADXCRAG_AB014509_x_at	NCKAP1
ADXCRAG_AB014525_s_at	SETX
ADXCRAG_AB014542_s_at	TNRC15
ADXCRAG_AB014553_at	ICOSLG
ADXCRAD_BI767994_at	PPFIA3
ADXCRAD_BI767994_s_at	PPFIA3
ADXCRAD_NM_014779_s_at	TSC22D2
ADXCRAG_AB014581_s_at	L3MBTL
ADXCRAG_AB014584_s_at	UBE4B
ADXCRAG_AB014593_at	SS18L1
ADXCRAD_CN258238_s_at	SS18L1
ADXCRAG_AB014600_s_at	SIN3B
ADXCRAG_AB014731_s_at	DENR
ADXCRAG_AB014733_at	YIPF5
ADXCRAD_BG925715_s_at	YIPF5
ADXCRAG_AB014773_s_at	UBE1L2
ADXCRAG_AB015020_s_at	BAIAP2
ADXCRAG_AB015317_at	AP1G1
ADXCRAG_AB015628_at	CLEC2B
ADXCRAD_CD641555_s_at	CLEC2B
ADXCRAG_AB015633_at	TMEM5
ADXCRAG_AB015633_x_at	TMEM5
